iter	Passed	Remaining
407	4042	5866
408	4048	5850
409	4058	5839
410	4065	5826
411	4072	5812
412	4084	5804
413	4097	5799
414	4103	5784
415	4111	5771
416	4126	5769
417	4134	5755
418	4140	5740
419	4147	5728
420	4164	5727
421	4171	5713
422	4176	5696
423	4187	5688
424	4197	5678
425	4203	5663
426	4213	5653
427	4221	5641
428	4228	5628
429	4235	5614
430	4241	5599
431	4248	5585
432	4254	5571
433	4261	5557
434	4266	5541
435	4274	5529
436	4281	5515
437	4287	5501
438	4295	5489
439	4304	5478
440	4315	5470
441	4324	5459
442	4332	5447
443	4338	5432
444	4343	5417
445	4349	5402
446	4356	5389
447	4368	5382
448	4382	5377
449	4400	5378
450	4410	5368
451	4420	5358
452	4427	5346
453	4435	5334
454	4447	5327
455	4456	5316
456	4466	5307
457	4474	5294
458	4482	5283
459	4491	5272
460	4501	5262
461	4507	5249
462	4514	5235
463	4523	5225
464	4529	5211
465	4536	5198
466	4550	5193
467	4556	5179
468	4564	5167
469	4574	5158
470	4585	5149
471	4602	5148
472	4609	5136
473	4623	5130
474	4632	5119
475	4639	5107
476	4649	5098
477	4659	5087
478	4669	5078
479	4678	5068
480	4690	5060
481	4714	5066
482	4735	5068
483	4752	5066
484	4764	5058
485	4773	5048
486	4780	5035
487	4785	5021
488	4794	5009
489	4800	4996
490	4806	4982
491	4813	4970
492	4820	4956
493	4825	4943
494	4832	4930
495	4837	4915
496	4846	4905
497	4852	4891
498	4861	4880
499	4870	4870
500	4879	4860
501	4887	4849
502	4895	4837
503	4914	4836
504	4924	4826
505	4946	4829
506	4953	4817
507	4963	4807
508	4974	4798
509	4986	4791
510	4995	4780
511	5002	4768
512	5009	4755
513	5015	4742
514	5035	4742
515	5052	4738
516	5062	4729
517	5070	4718
518	5092	4719
519	5100	4707
520	5107	4695
521	5114	4683
522	5129	4678
523	5136	4666
524	5144	4654
525	5158	4648
526	5172	4642
527	5183	4633
528	5201	4631
529	5213	4623
530	5267	4652
531	5307	4669
532	5321	4662
533	5335	4656
534	5348	4648
535	5413	4686
536	5449	4698
537	5462	4690
538	5476	4683
539	5499	4684
540	5510	4675
541	5534	4677
542	5713	4808
543	5727	4800
544	5743	4794
545	5754	4784
546	5760	4770
547	5845	4821
548	5859	4813
549	5906	4832
550	5921	4825
551	5971	4846
